RowNum,output,input,instruction
29,Language in McConnell's memo on Global Markets ,"Rick:  This is a draft of the language to be used in a McConnell/Shankman  memo to go out on their new organization. I worked with Mike on the language  for this paragraph. Any comments or suggested changes? Mike would like to send this out ASAP, ideally this afternoon. Thanks for  taking a look. draft  Brent Price will be joining Enron Global Markets as Vice President of  Operations and Chief Accounting Officer. He will report to the EGM Office of  the Chairman, and to Sally Beck, Vice President of Global Risk Management  Operations. He will coordinate with Rick Causey, Executive Vice President  and Chief Accounting Officer for Enron Corp., on accounting issues and  reporting earnings. Reporting to Brent in his new position will be Sheila  Glover, business controller for Global Financial Products;  Todd Hall,  business controller for Weather; and Scott Earnest, business controller for  Global Products and Coal. In addition, Tom Myers has joined Brent's  management team as Director of Accounting. Brent and his team are  responsible for all accounting, risk reporting and trading operations for all  the businesses within EGM.  ",Summarize the email and create a subject line.
30,"Key Contacts - Out of Office - July 26-28, July 31 and August 1 ","FYI - I will be out of the office for the two meetings on Wednesday this  week. I will be working in Chicago Monday and Tuesday next week. I will be  back in the office on Wednesday of next week. Todd tells me that a logo has been selected. Can you e:mail that to me? If  not available electronically, I will see it when I am back in the office next  Wednesday. If no one has stepped in to a look at hours spent on the confirmation process  and opportunities that may be presented there, I will do that when I am back  in the office next week. My first move will be to sit down with Jeff  Sorenson who leads the confirmation group to put some meat around the hours  that James Scribner sent you. When we look at numbers of confirmations and  compare several months of data we will be better able to identify which  activities were stressed by increased business and which activities seemed   to absorb increased business more easily. I also think that Jeff will be the  best source of information about ideas on streamlining, opportunities to  simply life at Enron and perhaps create value externally. All of the  advances made over the last several years (auto-confirm, the DECAF system,  auto-faxing, digitized signatures, document scanning, etc. ) in our confirm  group have been ideas generated by the business group and led by them for  implementation. No doubt, Jeff has some good ideas on where to go next.  ",Summarize the email and create a subject line.
31,Lunch for UT Summer Analysts and Associates ,"Please join us for an informal lunch on Friday, July 21st in the dining room  in EB50M. Rick Causey, Enron's executive lead for the Analyst Program, and  David Haug, Enron's executive lead for the Associates Program, have been  invited to join us as well. We are interested in renewing acquaintances with  those of you whom we met on campus and in getting to know those of you whom  we did not see in the interview process. We hope that you are enjoying your  summer assignments at Enron and we look forward to the opportunity to visit  over lunch. Please let me know by return e:mail if you will be able to attend the lunch.  ",Summarize the email and create a subject line.
32,Travel Itinerary ,"Just wanted to let you know where we will be over the next week. I am still  at the office hoping to get away before dinner so that I can head home and  pack. I will call when we are back in Houston on Sunday, July 16. Mom and Dad,  hope that you have fun if you are going on your trip! Love, Sally   Saturday, July 8, 2000  ",Summarize the email and create a subject line.
33,Accomplishments - First Half of 2000 ,"Attached are my accomplishments for the first half of 2000. I will also ask  my assistant to deliver a hard copy to you on Wednesday, July 5. Let me know if you have any questions or need more information. Thanks.  ",Summarize the email and create a subject line.
34,Jury Duty - November 28 ,"I have been summoned for jury duty onTuesday, November 28 at 8:00 am. While  wanting to fulfill my civic duty, I am also hoping to be an unlikely juror  this time around so that I can be back in the office sometime on Tuesday. I  will call in and let Patti know my status.  ",Summarize the email and create a subject line.
35,Mark Mixon Resume ,"Laura,  I am attaching resume of Mark Mixon that Sally left you a voicemail regarding  on Monday. If you are going to be in town and would like to see Mark, please  let me know and I would be happy to make arrangements. Thanks,  ",Summarize the email and create a subject line.
36,Suggested Analysts for Board Positions ,"I read the applications, letters of recommendation and resumes on the plane  to Austin and in the hospital this weekend. Below are my suggested seven  appointees to the Analyst Advisory Board. I made the selections based on  their answers to the application questions, plus I attended to get a mix of  male and female, commercial and merchant service analysts rotations, current  operating company assignments, undergraduate schools, etc. I am sorry that I will not be able to join you in the meeting today. Analyst  School  Current Rotation Rationale  Ilan Caplan  UT   CALME Structuring Both MSA and Commercial Analyst rotations  Erin Rice  Trinity   CALME Structuring Vocal; good to be part of the  solution; female minority  Brian Hoskins  Vanderbilt  ENA Trading  I will trust Jeff Shankman on this one  Carrie Southard  Texas A&M  ENA - EOL  Current MSA rotation  Alejandro Veiga Rice   ESA - Venezula  Good ideas; diverse background  Courtney Votaw  Pepperdine  Corp. - PR  Adds interest to the mix with her  rotation & background  Adrian Woolcock Rice   EES   Sounds mature; good ideas  ",Summarize the email and create a subject line.
37,Trip to London ,"I didn't get a response from you regarding my e:mail that I sent last week,  but I have heard through the grapevine that you will be making a trip to  Houston next week. My plans for being in London next week are firm, so it  looks as if we will miss one another. My offer stands to help you in any way as you take on your new role, so I  trust that you will take me up on that offer as needed. I will look forward  to working with you as we develop common standards for operations worldwide,  with effective exception reporting. This is a key initiative for 2000 and  will involve trading operations in all locations for all commodities.  ",Summarize the email and create a subject line.
38,Holiday Coverage Contact-REVISED ,"Please note change in red on Key Contact List for week of December 27, 1999= . Attached please find a Key Contact list for Energy Operations for the weeks= =20 of December 20 and December 27, 1999. Note the following schedule for risk= =20 book reporting to accommodate the holidays.=20   Trade Date  Enron Status NYMEX  Equity Market  Consolidated Risk Reporting= =20  Thursday, 12/23 Holiday  Open Open DPR published =01) normal schedule **  Friday, 12/24 Holiday Closed Closed DPR not published  **  Monday, 12/27 Open * Open Open DPR includes 12/24 & 12/27 P&L  Tuesday, 12/28 Open * Open Open DPR published =01) normal schedule  Wednesday, 12/29 Open  Open Open DPR published =01) normal schedule =20 Thursday, 12/30 Open Open Open DPR published =01) normal month-end     schedule  Friday, 12/31 Holiday Closed Open DPR not published  **    (closed 1PM EST)  Monday, 1/3 Holiday Closed Open DPR not published  **  Tuesday, 1/4 Open Open Open  DPR includes 12/31, 1/3 & 1/4 =20  Notes:    *  Canadian holiday   **  Trader P&L and Position reports will be produces for traded products = =20    Distribution:=20 ENA Office of the Chairman Commercial Pulp & Paper  Energy Operations Cliff Baxter  Greg Whalley Edward Ondarza  Kristin Albrecht Kevin Hannon    Sheila Glover  ",Summarize the email and create a subject line.
39,EGM All Employee Meeting ,I have put this meeting on my calendar. You don't need to forward to anyone  else. Chantelle should handle that for Brent's EGM team. Thanks.  ,Summarize the email and create a subject line.
40,Space Planning - Product Control Group ,"This is the note that I mentioned that I sent to Philippe today about space  in the new building. You can take up the cause with Philippe when he  returns. I am meeting with Tammy Shepperd at 1:30 tomorrow on some space  planning details. I will tell her that Sheri's group should be located with  yours, and by that time I should be able to tell her that Sheri's group will  be reporting to you. I will call you tomorrow after I talk with Sheri - should be by 11:00 am.  ",Summarize the email and create a subject line.
41,Request Submitted: Access Request for gautam.gupta@enron.com ,"Please ask Sheri Thomas if this person needs access to EOL applications. I  don't recognize the names. The name noted as manager is Loyd Will, who is a  commercial employee reporting to Kevin Presto. Thanks.  ",Summarize the email and create a subject line.
42,Response to RFP ,"Did you get the changes that we discussed yesterday included before the  response to the RFP went to CMS? Also, please send me a copy of the complete response to the RFP, assuming you  have that. You mentioned yesterday that the document we were reviewing was  only part of the package. I would like to see the whole thing. Thanks.  ",Summarize the email and create a subject line.
43,"DPR - what it consists of, where it is going ",Just remember that the DPR is used as an accounting tool as well. despite my  constant reminders that it is a tool for reporting daily trading results and  positions against board approved limits. So do approach this as  fact-finding; and then I would suggest reviewing any recommendations that you  may have with Wes Colwell and the RAC group before any changes are made. Looks like a good group. I hope that all will attend and participate. Did  Pam do some due diligence for you before sending this e:mail so that you know  this date and time works for everyone? Keep me posted on progress. --Sally  ,Summarize the email and create a subject line.
44,Congratulations ,"I asked Mike this week if your baby was here, and he said that you had just  returned to the office. Congratulations on the birth of your little girl. I  hope that all three of you are surviving those first few weeks of adjustment  and that sleep is not too short a commodity in your house! I will look  forward to seeing pictures of Lauren when I am next in London. You do know  that now that you are a dad that it is a requirement to be armed with  adorable pictures at all times? !  ",Summarize the email and create a subject line.
45,Causey Presentation ,"I have reviewed my section of Causey's presentation ( to be given by Brenda)  and all looks fine except for page with world map. Can we add Portland to  the map? That is the true trading location that is missing. If it is tough  to do, don't worry about it. Thanks. --Sally  ",Summarize the email and create a subject line.
46,Enron Center Garage ,"The Enron Center Garage has opened. Employees who work for business units that are scheduled to move to the new building and are currently parking in an Enron Contract garage you are being offered a parking space in the new Enron Center garage. This is the only offer you will receive during the initial migration to the new garage. Spaces will be filled on a first come first served basis. The cost for the new garage will be the same as Allen Center garage which is currently $165.00 per month, less the company subsidy, leaving a monthly employee cost of $94.00. If you choose not to accept this offer at this time, you may add your name to the Enron Center garage waiting list at a later day and offers will be made as spaces become available. The  Sky Ring  that connects the garage and both buildings will not be opened until fall 2001. All initial parkers will have to use the street level entrance to Enron Center North until  Sky Ring access is available. Garage stairways next to the elevator lobbies at each floor may be used as an exit in the event of elevator trouble. If you are interested in accepting this offer, please reply via email to Parking and Transportation as soon as you reach a decision. Following your email, arrangements will be made for you to turn in your old parking card and receive a parking transponder along with a an information packet for the new garage. The Parking and Transportation desk may be reached via email at Parking and Transportation/Corp/Enron or 713-853-7060  with any questions.  ",Summarize the email and create a subject line.
47,NEW ENRONONLINE FUNCTIONALITY ,"The following additions and modifications to Stack Manager will be effective as of Saturday September 8, 2001. Stack Manager Modifications  Inactivate All Stack - In addition to the individual Activate/Inactive Stack buttons, there is now an Inactivate All Stack button. Similar to the Suspend All button, this button will inactivate the trader's stack on all active products. Any existing top of stack limit orders will continue to post to the website and remain transactable. See screen shot below: Inactivate All Stack button on far right. Please note that we have switched the positions of the suspend and inactivate buttons in Stack Manager. Fill Order - If a product is set up as either Restricted Top of Stack or Top of Stack the trader now has the ability to automatically fill any order that is at the top of the stack. In order to fill a limit order that is at the top of the product's stack, which will appear in pink, the trader should right click anywhere on the stack window and choose ""Fill order"". The volume filled on an order will be that which is offered by the trader. In order to fill the complete volume of the order, the trader will need to adjust the volume in his stack. Floated Stack windows - If the stack is inactive on a product, the price and volume fields on the my products tab will continue to be blank. On the depth window and floated stack window of these products the trader's prices will be in gray and italics. Children of products that have inactive stacks will not be gray and italicised in the floated stack windows and will not see the calculated prices. No Auto Inactivate Stack - It is now possible to keep a product active even if the trader is not logged into Stack Manager. If the trader wishes to enable this functionality on the upper right corner of the product properties page the trader should choose ""No Auto Inactivate when Stack Manager is down"". Changes regarding Suspension of products  Stack Manager will inactivate products rather than suspend them in the following cases:  ? Market Close - If a product is active at the end of its trading hours its stack will automatically become inactive rather than suspending. In order to keep a product's stack active past the set trading hours, the trader should choose ""Keep Awake"" next to the trading hours section of the product properties page. ? Auto Suspend now inactivates stack - On a product with the Auto Suspend function enabled to monitor the price changes on the product, the product's stack will be inactivated if the Suspend at level is reached. This feature can be used by checking the Enable box on the product properties page under the Auto Suspend section. ? Logging Out of Stack Manager- When you log out of Stack Manager without inactivating or suspending your products, the system will now inactivate your products rather than suspending them.  ",Summarize the email and create a subject line.
48,Account Receivables ,"The attached list are outstanding receivables associated with the Central Region group that have occurred prior to December 2000. I would request that these receivables get written off in order to clean up the books. Total value $11,783.70. If you have any questions, please do not hesitate to give me a call.  ",Summarize the email and create a subject line.
49,Contracts/PLE On Call Schedule January through June 2002 ,"Attached is the Contracts/PLE team on-call schedule for the first half of 2002. Please note the following procedural changes for the Contracts/PLE on call person... The on call person will be the primary contact for questions for all three pipes, both contract and capacity release. The team member on call for the upcoming weekend will also be the person on call during the week. (The on-call period starts Monday morning and continues until the next Monday morning.) The on-call person will be in the office until 5pm (5:30pm during bid week which is the last week of the month). If you have any questions or suggestions for improving the process, feel free to call.  ",Summarize the email and create a subject line.
50,North End Team Shipper/Interconnect Assignments ,"Team, I would like for you to review the attached Shipper assignment list. With Renee leaving and 	Pat still on a learning curve, I wanted to throw out some possibilities and get your input. I did not 	spend a lot of time on interconnects, so you may want to look at those closely. I did talk with John, 	Terry, Raetta and Larry for input. Please review, discuss and set up some time to visit with me about 	your comments. Thanks. Lynn  ",Summarize the email and create a subject line.
51,DUKE INVOICES ,"The revised invoices for Duke contracts 27291 and 27349 appear to be correct. The attached schedule shows the estimated revenue impact and the actual revised billing for both contracts. The invoices are going out today to the customer along with an explanation for the change. I will strive to capture the alternate deliveries to California calculation each month and forward the data to Lorraine and Jan/Jeanette. If you have any questions, please let me know. Thanks,  Bert  ",Summarize the email and create a subject line.
52,Duke Field Services Contract ,"In our effort to decide if we need to re-negotiate contract 101021 and 101073 with Duke to possibly eliminate the BTU Daily Gas Wire numbers and instead use the Gas Daily numbers, I have attached a spreadsheet that gives the Gas Daily and BTU Daily Gas Wire numbers for Mid 13 and Demarc. Randy, could you please run the Gas Daily numbers in your calculation for the last 13 months? We would like to see the bottom line impact between using the BTU Daily Gas Wire publication vs. the Gas Daily publication. We are hoping this will give some insight on whether it would be beneficial to us to re-negotiate the 2 contracts. Thanks,  ",Summarize the email and create a subject line.
53,Personal Best Award Request ,"Here is the PAA for Legale. Add additional information if you do not think this is ""meaty""  enough. I do not have Larry's P# and Social Security #. Brad  ",Summarize the email and create a subject line.
